Vardas                   Pavarde                  ND1ND        2ND        3ND        4ND        5Egz.      
Vardas5042               Pavarde5042              4         6         7         7         1         8         
Vardas5043               Pavarde5043              9         8         10        9         1         2         
Vardas5044               Pavarde5044              8         8         6         1         9         7         
Vardas5045               Pavarde5045              7         4         6         2         6         9         
Vardas5046               Pavarde5046              1         10        10        2         2         4         
Vardas5047               Pavarde5047              7         4         9         5         7         10        
Vardas5048               Pavarde5048              9         3         6         4         8         5         
Vardas5049               Pavarde5049              10        7         6         3         1         8         
Vardas5050               Pavarde5050              6         9         8         3         10        10        
Vardas5051               Pavarde5051              7         3         9         1         10        10        
Vardas5052               Pavarde5052              3         2         10        10        3         6         
Vardas5053               Pavarde5053              6         1         7         6         6         2         
Vardas5054               Pavarde5054              4         8         10        1         2         2         
Vardas5055               Pavarde5055              2         5         3         3         10        8         
Vardas5056               Pavarde5056              8         6         1         9         4         1         
Vardas5057               Pavarde5057              6         5         6         6         7         4         
Vardas5058               Pavarde5058              5         4         6         10        9         1         
Vardas5059               Pavarde5059              4         4         1         9         4         9         
Vardas5060               Pavarde5060              10        7         1         3         6         8         
Vardas5061               Pavarde5061              3         1         4         7         3         6         
Vardas5062               Pavarde5062              2         7         2         9         10        7         
Vardas5063               Pavarde5063              8         6         4         9         10        3         
Vardas5064               Pavarde5064              1         10        4         3         7         10        
Vardas5065               Pavarde5065              1         10        9         8         1         9         
Vardas5066               Pavarde5066              10        3         5         3         4         1         
Vardas5067               Pavarde5067              10        10        6         8         2         2         
Vardas5068               Pavarde5068              9         7         10        4         5         5         
Vardas5069               Pavarde5069              9         6         2         6         1         6         
Vardas5070               Pavarde5070              10        8         1         2         2         2         
Vardas5071               Pavarde5071              7         3         5         7         7         10        
Vardas5072               Pavarde5072              1         9         2         5         7         1         
Vardas5073               Pavarde5073              8         5         3         9         8         6         
Vardas5074               Pavarde5074              3         7         8         9         6         4         
Vardas5075               Pavarde5075              8         8         10        7         9         8         
Vardas5076               Pavarde5076              7         10        9         7         4         5         
Vardas5077               Pavarde5077              10        2         2         4         4         4         
Vardas5078               Pavarde5078              9         3         5         8         3         6         
Vardas5079               Pavarde5079              3         7         2         9         2         2         
Vardas5080               Pavarde5080              1         2         9         10        6         3         
Vardas5081               Pavarde5081              9         10        10        6         8         2         
Vardas5082               Pavarde5082              7         4         7         3         2         2         
Vardas5083               Pavarde5083              2         9         2         1         4         9         
Vardas5084               Pavarde5084              10        9         7         7         8         2         
Vardas5085               Pavarde5085              7         5         8         1         3         8         
Vardas5086               Pavarde5086              10        5         6         4         3         8         
Vardas5087               Pavarde5087              7         2         10        9         9         4         
Vardas5088               Pavarde5088              8         7         3         5         2         9         
Vardas5089               Pavarde5089              6         4         10        7         9         2         
Vardas5090               Pavarde5090              5         10        7         10        8         9         
Vardas5091               Pavarde5091              7         9         8         8         5         2         
Vardas5092               Pavarde5092              5         1         6         2         2         3         
Vardas5093               Pavarde5093              4         5         5         6         2         4         
Vardas5094               Pavarde5094              6         8         9         5         3         5         
Vardas5095               Pavarde5095              4         1         8         7         7         6         
Vardas5096               Pavarde5096              5         6         9         1         4         10        
Vardas5097               Pavarde5097              8         4         1         9         3         2         
Vardas5098               Pavarde5098              1         3         4         1         2         7         
Vardas5099               Pavarde5099              10        1         1         7         3         8         
Vardas5100               Pavarde5100              3         6         6         10        4         8         
Vardas5101               Pavarde5101              4         3         7         9         9         2         
Vardas5102               Pavarde5102              8         3         8         8         4         5         
Vardas5103               Pavarde5103              1         9         4         5         8         4         
Vardas5104               Pavarde5104              2         7         5         6         2         1         
Vardas5105               Pavarde5105              9         1         2         2         8         9         
Vardas5106               Pavarde5106              9         4         4         2         8         3         
Vardas5107               Pavarde5107              2         4         1         6         8         6         
Vardas5108               Pavarde5108              7         10        7         3         9         4         
Vardas5109               Pavarde5109              3         3         6         1         9         5         
Vardas5110               Pavarde5110              10        5         10        10        4         4         
Vardas5111               Pavarde5111              6         10        9         5         6         4         
Vardas5112               Pavarde5112              10        4         3         3         4         7         
Vardas5113               Pavarde5113              8         8         3         7         10        10        
Vardas5114               Pavarde5114              10        1         9         3         8         1         
Vardas5115               Pavarde5115              4         6         8         8         5         9         
Vardas5116               Pavarde5116              3         4         3         3         10        5         
Vardas5117               Pavarde5117              1         5         6         5         5         9         
Vardas5118               Pavarde5118              10        1         10        9         9         5         
Vardas5119               Pavarde5119              9         6         10        3         7         3         
Vardas5120               Pavarde5120              10        9         4         1         7         9         
Vardas5121               Pavarde5121              4         9         5         4         9         4         
Vardas5122               Pavarde5122              1         1         9         1         7         10        
Vardas5123               Pavarde5123              5         10        1         6         8         5         
Vardas5124               Pavarde5124              6         6         10        6         5         9         
Vardas5125               Pavarde5125              8         4         7         1         1         1         
Vardas5126               Pavarde5126              4         6         9         4         2         7         
Vardas5127               Pavarde5127              3         1         6         3         1         7         
Vardas5128               Pavarde5128              1         5         3         4         9         6         
Vardas5129               Pavarde5129              8         1         1         5         7         6         
Vardas5130               Pavarde5130              9         6         4         10        9         1         
Vardas5131               Pavarde5131              4         8         8         8         8         6         
Vardas5132               Pavarde5132              10        8         8         9         7         10        
Vardas5133               Pavarde5133              2         5         8         7         3         8         
Vardas5134               Pavarde5134              7         9         10        6         8         2         
Vardas5135               Pavarde5135              5         1         7         1         8         2         
Vardas5136               Pavarde5136              2         8         8         7         3         9         
Vardas5137               Pavarde5137              7         5         4         10        10        6         
Vardas5138               Pavarde5138              9         7         6         2         1         8         
Vardas5139               Pavarde5139              6         6         7         1         8         1         
Vardas5140               Pavarde5140              1         5         1         8         6         2         
Vardas5141               Pavarde5141              4         8         9         8         10        6         
Vardas5142               Pavarde5142              9         7         8         7         7         2         
Vardas5143               Pavarde5143              10        6         1         7         8         8         
Vardas5144               Pavarde5144              8         8         7         7         3         3         
Vardas5145               Pavarde5145              4         5         8         5         3         1         
Vardas5146               Pavarde5146              2         10        5         1         7         4         
Vardas5147               Pavarde5147              10        4         5         1         9         5         
Vardas5148               Pavarde5148              9         6         7         7         3         5         
Vardas5149               Pavarde5149              4         4         1         7         2         6         
Vardas5150               Pavarde5150              8         8         10        4         4         1         
Vardas5151               Pavarde5151              10        10        9         2         8         5         
Vardas5152               Pavarde5152              8         8         8         5         3         2         
Vardas5153               Pavarde5153              2         6         4         8         10        7         
Vardas5154               Pavarde5154              1         5         3         10        5         10        
Vardas5155               Pavarde5155              10        10        10        6         3         9         
Vardas5156               Pavarde5156              4         4         3         3         7         7         
Vardas5157               Pavarde5157              9         3         1         6         5         7         
Vardas5158               Pavarde5158              7         7         9         6         7         10        
Vardas5159               Pavarde5159              9         8         6         4         2         10        
Vardas5160               Pavarde5160              7         7         4         2         6         6         
Vardas5161               Pavarde5161              2         1         6         9         4         2         
Vardas5162               Pavarde5162              10        10        7         3         5         3         
Vardas5163               Pavarde5163              4         9         4         1         1         6         
Vardas5164               Pavarde5164              8         7         2         8         10        4         
Vardas5165               Pavarde5165              3         8         2         1         4         4         
Vardas5166               Pavarde5166              8         4         8         2         6         6         
Vardas5167               Pavarde5167              10        8         5         10        7         6         
Vardas5168               Pavarde5168              1         8         10        7         2         10        
Vardas5169               Pavarde5169              7         6         3         10        8         7         
Vardas5170               Pavarde5170              7         8         9         4         1         10        
Vardas5171               Pavarde5171              3         5         6         6         5         7         
Vardas5172               Pavarde5172              2         9         2         6         3         10        
Vardas5173               Pavarde5173              5         4         1         3         4         2         
Vardas5174               Pavarde5174              9         8         4         2         5         6         
Vardas5175               Pavarde5175              4         2         3         10        6         1         
Vardas5176               Pavarde5176              7         5         10        6         9         9         
Vardas5177               Pavarde5177              2         2         9         5         2         2         
Vardas5178               Pavarde5178              8         3         5         6         6         10        
Vardas5179               Pavarde5179              4         8         2         3         10        4         
Vardas5180               Pavarde5180              8         8         6         5         5         9         
Vardas5181               Pavarde5181              3         1         5         1         5         1         
Vardas5182               Pavarde5182              9         6         5         3         10        6         
Vardas5183               Pavarde5183              3         5         10        4         7         10        
Vardas5184               Pavarde5184              8         8         8         8         10        2         
Vardas5185               Pavarde5185              3         8         6         6         9         1         
Vardas5186               Pavarde5186              4         6         5         5         8         9         
Vardas5187               Pavarde5187              6         3         4         7         3         3         
Vardas5188               Pavarde5188              8         7         3         9         7         5         
Vardas5189               Pavarde5189              1         3         9         1         1         10        
Vardas5190               Pavarde5190              9         3         8         4         10        2         
Vardas5191               Pavarde5191              6         3         2         10        3         6         
Vardas5192               Pavarde5192              7         2         4         10        9         1         
Vardas5193               Pavarde5193              5         6         4         7         7         10        
Vardas5194               Pavarde5194              8         5         1         9         10        6         
Vardas5195               Pavarde5195              8         8         3         2         4         8         
Vardas5196               Pavarde5196              6         9         5         7         1         10        
Vardas5197               Pavarde5197              7         6         8         10        6         10        
Vardas5198               Pavarde5198              1         2         5         9         5         3         
Vardas5199               Pavarde5199              4         6         3         9         3         8         
Vardas5200               Pavarde5200              3         8         3         1         6         1         
Vardas5201               Pavarde5201              6         3         1         1         3         3         
Vardas5202               Pavarde5202              1         2         7         3         9         2         
Vardas5203               Pavarde5203              1         1         6         6         10        4         
Vardas5204               Pavarde5204              2         10        2         3         10        10        
Vardas5205               Pavarde5205              5         4         4         8         1         8         
Vardas5206               Pavarde5206              2         9         4         9         1         9         
Vardas5207               Pavarde5207              7         8         7         3         8         4         
Vardas5208               Pavarde5208              6         4         1         6         4         10        
Vardas5209               Pavarde5209              8         8         4         10        8         3         
Vardas5210               Pavarde5210              7         3         3         5         2         5         
Vardas5211               Pavarde5211              4         5         4         4         2         9         
Vardas5212               Pavarde5212              8         4         7         3         7         8         
Vardas5213               Pavarde5213              3         8         10        7         3         3         
Vardas5214               Pavarde5214              9         5         2         3         8         10        
Vardas5215               Pavarde5215              8         7         8         10        1         8         
Vardas5216               Pavarde5216              5         6         9         3         9         1         
Vardas5217               Pavarde5217              8         2         7         3         10        4         
Vardas5218               Pavarde5218              9         4         5         3         9         5         
Vardas5219               Pavarde5219              4         1         1         10        5         3         
Vardas5220               Pavarde5220              8         2         5         9         2         10        
Vardas5221               Pavarde5221              5         7         5         4         3         6         
Vardas5222               Pavarde5222              5         2         4         8         8         1         
Vardas5223               Pavarde5223              7         10        10        10        2         6         
Vardas5224               Pavarde5224              1         7         10        5         7         6         
Vardas5225               Pavarde5225              7         4         2         6         4         2         
Vardas5226               Pavarde5226              8         9         9         9         5         9         
Vardas5227               Pavarde5227              2         9         2         8         8         1         
Vardas5228               Pavarde5228              7         7         8         9         7         3         
Vardas5229               Pavarde5229              1         5         7         4         2         1         
Vardas5230               Pavarde5230              6         7         7         2         2         3         
Vardas5231               Pavarde5231              9         5         7         10        2         10        
Vardas5232               Pavarde5232              9         8         7         4         1         4         
Vardas5233               Pavarde5233              2         8         9         4         7         7         
Vardas5234               Pavarde5234              4         2         7         10        4         1         
Vardas5235               Pavarde5235              10        7         4         1         8         4         
Vardas5236               Pavarde5236              5         4         1         2         3         7         
Vardas5237               Pavarde5237              5         7         4         4         7         10        
Vardas5238               Pavarde5238              6         3         4         2         4         10        
Vardas5239               Pavarde5239              9         4         3         8         4         3         
Vardas5240               Pavarde5240              4         3         9         5         5         3         
Vardas5241               Pavarde5241              6         9         6         6         7         9         
Vardas5242               Pavarde5242              4         5         3         4         4         10        
Vardas5243               Pavarde5243              5         6         5         10        10        3         
Vardas5244               Pavarde5244              2         4         9         10        10        2         
Vardas5245               Pavarde5245              2         8         5         8         4         5         
Vardas5246               Pavarde5246              5         9         9         9         7         10        
Vardas5247               Pavarde5247              7         9         5         5         2         9         
Vardas5248               Pavarde5248              3         5         9         4         1         4         
Vardas5249               Pavarde5249              9         10        6         3         10        5         
Vardas5250               Pavarde5250              8         4         10        9         10        1         
Vardas5251               Pavarde5251              5         3         5         2         2         9         
Vardas5252               Pavarde5252              8         10        10        1         6         6         
Vardas5253               Pavarde5253              4         7         8         4         9         1         
Vardas5254               Pavarde5254              8         8         10        3         7         2         
Vardas5255               Pavarde5255              1         6         2         7         3         10        
Vardas5256               Pavarde5256              1         9         6         1         2         3         
Vardas5257               Pavarde5257              5         1         1         2         1         5         
Vardas5258               Pavarde5258              1         9         8         10        7         10        
Vardas5259               Pavarde5259              4         9         5         8         6         6         
Vardas5260               Pavarde5260              9         8         2         5         9         4         
Vardas5261               Pavarde5261              6         3         6         1         10        8         
Vardas5262               Pavarde5262              10        5         8         9         9         3         
Vardas5263               Pavarde5263              8         2         3         4         3         7         
Vardas5264               Pavarde5264              2         8         5         1         10        7         
Vardas5265               Pavarde5265              5         3         4         6         9         1         
Vardas5266               Pavarde5266              10        4         7         6         7         8         
Vardas5267               Pavarde5267              9         2         7         9         9         3         
Vardas5268               Pavarde5268              5         7         2         2         4         6         
Vardas5269               Pavarde5269              3         4         4         9         4         1         
Vardas5270               Pavarde5270              3         2         5         8         6         9         
Vardas5271               Pavarde5271              3         9         9         10        2         10        
Vardas5272               Pavarde5272              5         3         1         1         5         5         
Vardas5273               Pavarde5273              5         3         2         5         5         9         
Vardas5274               Pavarde5274              5         7         5         4         6         9         
Vardas5275               Pavarde5275              2         2         7         8         7         9         
Vardas5276               Pavarde5276              5         1         1         9         2         1         
Vardas5277               Pavarde5277              5         7         5         7         8         9         
Vardas5278               Pavarde5278              5         2         6         7         3         10        
Vardas5279               Pavarde5279              2         1         6         8         8         1         
Vardas5280               Pavarde5280              6         3         8         5         8         10        
Vardas5281               Pavarde5281              6         7         5         1         9         5         
Vardas5282               Pavarde5282              3         4         2         3         7         1         
Vardas5283               Pavarde5283              1         6         9         8         5         8         
Vardas5284               Pavarde5284              3         5         2         4         7         9         
Vardas5285               Pavarde5285              10        5         6         6         4         3         
Vardas5286               Pavarde5286              8         7         3         10        4         3         
Vardas5287               Pavarde5287              6         7         6         7         5         2         
Vardas5288               Pavarde5288              5         2         7         6         9         8         
Vardas5289               Pavarde5289              9         10        5         1         7         4         
Vardas5290               Pavarde5290              3         1         2         6         8         3         
Vardas5291               Pavarde5291              7         3         2         10        10        9         
Vardas5292               Pavarde5292              2         5         7         3         10        3         
Vardas5293               Pavarde5293              6         2         1         2         8         9         
Vardas5294               Pavarde5294              6         2         7         8         2         4         
Vardas5295               Pavarde5295              10        5         8         1         3         10        
Vardas5296               Pavarde5296              4         5         4         1         6         4         
Vardas5297               Pavarde5297              7         1         5         6         4         4         
Vardas5298               Pavarde5298              6         4         3         2         10        6         
Vardas5299               Pavarde5299              8         9         1         1         1         9         
Vardas5300               Pavarde5300              1         5         7         6         8         7         
Vardas5301               Pavarde5301              1         4         9         7         9         6         
Vardas5302               Pavarde5302              4         10        8         8         9         5         
Vardas5303               Pavarde5303              7         10        1         7         2         1         
Vardas5304               Pavarde5304              3         3         9         7         10        4         
Vardas5305               Pavarde5305              5         9         8         10        1         1         
Vardas5306               Pavarde5306              8         4         5         8         6         4         
Vardas5307               Pavarde5307              3         6         3         10        1         8         
Vardas5308               Pavarde5308              7         9         9         8         5         2         
Vardas5309               Pavarde5309              10        3         6         2         7         1         
Vardas5310               Pavarde5310              5         9         1         4         5         9         
Vardas5311               Pavarde5311              3         5         6         10        10        9         
Vardas5312               Pavarde5312              1         6         4         2         7         5         
Vardas5313               Pavarde5313              6         7         6         3         2         2         
Vardas5314               Pavarde5314              2         8         6         1         3         8         
Vardas5315               Pavarde5315              6         7         10        3         1         9         
Vardas5316               Pavarde5316              8         3         7         5         2         6         
Vardas5317               Pavarde5317              6         5         6         2         5         10        
Vardas5318               Pavarde5318              1         2         10        1         10        3         
Vardas5319               Pavarde5319              2         3         5         10        1         9         
Vardas5320               Pavarde5320              8         6         6         5         5         4         
Vardas5321               Pavarde5321              5         9         6         9         4         5         
Vardas5322               Pavarde5322              9         10        5         3         7         7         
Vardas5323               Pavarde5323              5         3         5         2         10        3         
Vardas5324               Pavarde5324              7         5         1         3         9         4         
Vardas5325               Pavarde5325              5         7         7         5         3         3         
Vardas5326               Pavarde5326              8         5         6         8         10        2         
Vardas5327               Pavarde5327              1         1         6         1         10        3         
Vardas5328               Pavarde5328              7         6         10        8         1         2         
Vardas5329               Pavarde5329              5         2         2         9         8         1         
Vardas5330               Pavarde5330              9         5         10        9         3         1         
Vardas5331               Pavarde5331              9         5         3         4         5         7         
Vardas5332               Pavarde5332              2         3         6         9         9         6         
Vardas5333               Pavarde5333              8         7         5         6         9         1         
Vardas5334               Pavarde5334              10        8         5         8         3         10        
Vardas5335               Pavarde5335              3         9         7         5         1         7         
Vardas5336               Pavarde5336              3         1         8         5         4         2         
Vardas5337               Pavarde5337              9         6         6         6         4         3         
Vardas5338               Pavarde5338              8         10        10        7         3         10        
Vardas5339               Pavarde5339              2         1         8         5         1         2         
Vardas5340               Pavarde5340              8         8         1         8         9         10        
Vardas5341               Pavarde5341              9         3         3         9         10        8         
Vardas5342               Pavarde5342              3         2         8         1         10        9         
Vardas5343               Pavarde5343              4         8         5         6         9         10        
Vardas5344               Pavarde5344              3         7         6         10        2         7         
Vardas5345               Pavarde5345              6         6         10        5         3         6         
Vardas5346               Pavarde5346              1         1         5         10        9         9         
Vardas5347               Pavarde5347              3         6         10        7         4         8         
Vardas5348               Pavarde5348              1         5         8         10        6         2         
Vardas5349               Pavarde5349              5         10        3         7         4         1         
Vardas5350               Pavarde5350              10        3         6         4         1         9         
Vardas5351               Pavarde5351              2         8         7         6         2         8         
Vardas5352               Pavarde5352              8         6         10        4         8         6         
Vardas5353               Pavarde5353              4         3         6         2         3         3         
Vardas5354               Pavarde5354              7         9         4         4         4         5         
Vardas5355               Pavarde5355              9         6         10        9         9         4         
Vardas5356               Pavarde5356              5         1         6         4         5         1         
Vardas5357               Pavarde5357              8         10        6         1         10        6         
Vardas5358               Pavarde5358              4         1         3         8         6         7         
Vardas5359               Pavarde5359              4         1         10        9         1         5         
Vardas5360               Pavarde5360              4         9         9         2         1         2         
Vardas5361               Pavarde5361              8         10        5         5         5         9         
Vardas5362               Pavarde5362              9         10        3         9         9         4         
Vardas5363               Pavarde5363              8         7         2         9         2         9         
Vardas5364               Pavarde5364              6         1         3         10        2         3         
Vardas5365               Pavarde5365              5         3         9         6         2         6         
Vardas5366               Pavarde5366              3         1         8         3         5         10        
Vardas5367               Pavarde5367              9         2         6         4         10        5         
Vardas5368               Pavarde5368              6         5         8         7         10        8         
Vardas5369               Pavarde5369              8         2         7         5         4         2         
Vardas5370               Pavarde5370              2         3         8         6         4         10        
Vardas5371               Pavarde5371              8         7         2         5         5         1         
Vardas5372               Pavarde5372              6         4         4         8         3         7         
Vardas5373               Pavarde5373              4         10        5         7         4         5         
Vardas5374               Pavarde5374              5         9         1         10        6         8         
Vardas5375               Pavarde5375              4         5         1         6         3         4         
Vardas5376               Pavarde5376              2         2         3         4         1         5         
Vardas5377               Pavarde5377              10        9         10        8         6         6         
Vardas5378               Pavarde5378              6         2         3         6         3         6         
Vardas5379               Pavarde5379              1         1         5         2         5         5         
Vardas5380               Pavarde5380              4         6         10        9         5         3         
Vardas5381               Pavarde5381              9         9         7         1         3         9         
Vardas5382               Pavarde5382              8         9         6         8         1         9         
Vardas5383               Pavarde5383              8         8         5         7         9         5         
Vardas5384               Pavarde5384              8         1         2         8         6         8         
Vardas5385               Pavarde5385              1         6         10        8         6         4         
Vardas5386               Pavarde5386              9         8         4         10        9         5         
Vardas5387               Pavarde5387              5         5         3         2         10        4         
Vardas5388               Pavarde5388              10        8         3         7         5         1         
Vardas5389               Pavarde5389              5         6         10        4         10        10        
Vardas5390               Pavarde5390              5         6         2         6         6         8         
Vardas5391               Pavarde5391              5         7         9         2         3         2         
Vardas5392               Pavarde5392              7         5         6         8         7         4         
Vardas5393               Pavarde5393              6         5         1         8         6         7         
Vardas5394               Pavarde5394              4         7         3         3         8         7         
Vardas5395               Pavarde5395              7         2         2         4         6         6         
Vardas5396               Pavarde5396              8         10        6         8         9         5         
Vardas5397               Pavarde5397              10        1         1         1         1         4         
Vardas5398               Pavarde5398              10        7         2         7         2         10        
Vardas5399               Pavarde5399              7         2         2         6         3         7         
Vardas5400               Pavarde5400              10        9         3         2         5         10        
Vardas5401               Pavarde5401              8         3         2         3         10        9         
Vardas5402               Pavarde5402              6         8         8         6         7         4         
Vardas5403               Pavarde5403              4         10        3         8         5         10        
Vardas5404               Pavarde5404              2         3         7         10        8         1         
Vardas5405               Pavarde5405              7         4         6         9         2         10        
Vardas5406               Pavarde5406              1         9         3         9         3         6         
Vardas5407               Pavarde5407              7         10        6         9         10        1         
Vardas5408               Pavarde5408              9         10        9         7         10        8         
Vardas5409               Pavarde5409              10        7         7         1         10        9         
Vardas5410               Pavarde5410              8         1         2         1         5         5         
Vardas5411               Pavarde5411              4         2         10        9         3         1         
Vardas5412               Pavarde5412              6         8         5         9         7         5         
Vardas5413               Pavarde5413              10        8         2         10        3         6         
Vardas5414               Pavarde5414              7         10        10        8         3         7         
Vardas5415               Pavarde5415              7         1         6         9         3         6         
Vardas5416               Pavarde5416              9         3         9         6         1         3         
Vardas5417               Pavarde5417              4         8         1         10        3         10        
Vardas5418               Pavarde5418              3         5         7         9         4         7         
Vardas5419               Pavarde5419              3         8         1         7         3         2         
Vardas5420               Pavarde5420              3         10        3         6         5         3         
Vardas5421               Pavarde5421              6         10        8         10        7         10        
Vardas5422               Pavarde5422              6         6         1         6         2         4         
Vardas5423               Pavarde5423              4         3         3         2         6         6         
Vardas5424               Pavarde5424              7         8         10        7         4         1         
Vardas5425               Pavarde5425              10        9         10        7         4         8         
Vardas5426               Pavarde5426              1         6         10        3         1         10        
Vardas5427               Pavarde5427              6         2         3         7         3         10        
Vardas5428               Pavarde5428              1         10        1         5         4         3         
Vardas5429               Pavarde5429              3         4         9         6         8         3         
Vardas5430               Pavarde5430              5         6         4         2         8         5         
Vardas5431               Pavarde5431              7         4         9         3         4         6         
Vardas5432               Pavarde5432              2         8         4         7         1         3         
Vardas5433               Pavarde5433              3         2         7         1         10        6         
Vardas5434               Pavarde5434              6         2         2         1         6         7         
Vardas5435               Pavarde5435              4         9         10        8         9         7         
Vardas5436               Pavarde5436              7         5         8         6         5         3         
Vardas5437               Pavarde5437              6         9         10        7         2         7         
Vardas5438               Pavarde5438              2         1         6         2         5         3         
Vardas5439               Pavarde5439              2         9         3         2         7         2         
Vardas5440               Pavarde5440              5         2         9         5         3         8         
Vardas5441               Pavarde5441              7         6         1         4         8         5         
Vardas5442               Pavarde5442              3         7         1         3         10        8         
Vardas5443               Pavarde5443              7         6         8         2         8         9         
Vardas5444               Pavarde5444              10        7         10        10        7         3         
Vardas5445               Pavarde5445              9         8         1         3         1         2         
Vardas5446               Pavarde5446              3         8         9         2         2         4         
Vardas5447               Pavarde5447              6         2         10        4         7         8         
